date,avg temp,max temp,min temp,rainFall,cabbage,potato,apple,onion,cucumber,pepper,paprika,spinach,tomato,lettuce
2025-01-20,1.9,8.4,-2.8,0,12695 ,59142,41274 ,1439 ,54570 ,28425,37798,18282,16933,10954
2025-01-19,1.5,9.4,-5.2,0,0 ,0,0 ,0 ,0 ,0,0,0,0,0
2025-01-18,0.4,8.6,-6.1,0,13411 ,42922,42716 ,1388 ,51834 ,33812,36509,19010,18789,11528
2025-01-17,0,6.6,-5,0,13506 ,57968,52063 ,1406 ,53792 ,31398,35731,18558,17235,11058
2025-01-16,-0.5,4.4,-5.6,0,14751 ,64667,49266 ,1401 ,55669 ,29903,36931,19046,17534,10452
2025-01-15,-1.6,1.8,-4.7,0,14609 ,69472,48411 ,1424 ,60976 ,29336,33562,18630,15132,12042
2025-01-14,3.3,8.8,-1.7,0.3,14701 ,76749,48149 ,1486 ,57755 ,24000,34540,18955,14749,15341
2025-01-13,-0.5,5.2,-6.3,0.1,14402 ,58628,48417 ,1468 ,51256 ,19643,35407,16094,14174,14426
2025-01-12,-2.6,3.2,-7.9,0,0 ,0,0 ,0 ,0 ,0,0,0,0,0
2025-01-11,-4.1,1.3,-9,0,14728 ,52490,63209 ,1466 ,46996 ,17518,35014,15745,13482,10824
2025-01-10,-7.1,-1.1,-13.2,0,14097 ,52082,63209 ,1459 ,45905 ,15343,32171,13881,13529,9569
2025-01-09,-7.5,-3.3,-11.3,0.5,14175 ,53089,65444 ,1449 ,48850 ,14132,35863,15581,15943,9318
2025-01-08,-1.4,3.2,-5.3,1,15849 ,51369,65444 ,1489 ,46004 ,14534,33535,17404,13800,10574
2025-01-07,-1.4,2.3,-4.9,0.7,15198 ,45898,65444 ,1525 ,44800 ,14899,34425,16554,12402,13228
2025-01-06,1.6,5.9,-1.9,1.5,15386 ,46769,0 ,1600 ,43695 ,16872,32406,16962,12442,17396
2025-01-05,0.9,4.5,-4,1.9,0,0,0,0,0,0,0,0,0,0
2025-01-04,-0.2,5.8,-5.1,0,15956 ,47635,0 ,1620 ,42340 ,18578,31627,18176,12182,21731
2025-01-03,-0.4,3.9,-4.5,0,17471 ,44694,0 ,1538 ,43353 ,24498,30764,17672,13786,21744
2025-01-02,1.1,8,-4,0,17295 ,41642,0 ,1419 ,40196 ,27051,31325,15351,13560,21348
2025-01-01,1.4,8.8,-4.8,0,0 ,0,0 ,0 ,0 ,0,0,0,0,0
2024-12-31,2.3,6.7,-2.8,0,17295 ,41642,0 ,1419 ,40196 ,27051,31325,15351,13560,21348
2024-12-30,4.8,10,-0.6,0,12237 ,38487,0 ,1319 ,45441 ,22915,30699,12828,15120,23364
2024-12-29,1,6.6,-4,0,0 ,0,0 ,0 ,0 ,0,0,0,0,0
2024-12-28,-1.5,1.7,-4.6,0.7,11376 ,41834,0 ,1297 ,43990 ,21797,32718,11642,14914,22295
2024-12-27,-0.7,3.1,-4.2,0.4,11163 ,41406,0 ,1306 ,41535 ,18142,34720,12141,15662,16276
2024-12-26,2.4,6.5,-2,0.1,11464 ,47254,0 ,1269 ,38517 ,16404,39037,12295,18875,15623
2024-12-25,1.8,7.1,-3.5,0.1,10511 ,46197,0 ,1241 ,38888 ,16071,39603,13319,16983,14736
2024-12-24,0.4,6.3,-4.3,0,11229 ,40140,0 ,1231 ,36914 ,17755,35347,13904,17194,14366
2024-12-23,-0.2,6.8,-6.4,0,11596 ,35529,0 ,1214 ,39930 ,17713,35819,13970,17749,14737
2024-12-22,-2.3,2.2,-6,0,0 ,0,0 ,0 ,0 ,0,0,0,0,0
2024-12-21,1,4.2,-2.5,1.8,12148 ,44820,0 ,1186 ,36449 ,16459,40441,12857,17127,14750
2024-12-20,0.8,5.9,-3.9,0.2,11843 ,34941,0 ,1186 ,40552 ,17918,38458,12958,17353,13907
2024-12-19,-1.5,5.7,-7,0,9730 ,35260,0 ,1218 ,36721 ,18670,42088,13096,19834,15152
2024-12-18,-1.4,2.8,-5.1,0.1,12517 ,34169,0 ,1207 ,40111 ,19097,38435,12183,17207,16128
2024-12-17,1.4,6.5,-2.7,0,9363 ,34122,0 ,1166 ,40914 ,20931,40459,10912,18238,15651
2024-12-16,1.9,6.7,-2.9,0.2,11615 ,34325,0 ,1147 ,45787 ,18988,32377,11409,19514,13254
2024-12-15,2.2,6,-1.8,0.6,0 ,0,0 ,0 ,0 ,0,0,0,0,0
2024-12-14,0.2,4.4,-3.8,0.3,9397 ,32845,0 ,1196 ,41225 ,18210,29635,10408,19930,11935
2024-12-13,1.4,6.3,-1.7,0.3,9397 ,31251,0 ,1163 ,35836 ,15455,27456,9325,20122,11642
2024-12-12,1.6,7.3,-3.2,0,9477 ,30257,0 ,1138 ,34731 ,14029,27994,9166,20454,12619
2024-12-11,2.8,9.1,-1,0.5,9656 ,31309,0 ,1158 ,35615 ,14000,27126,9859,20330,14196
2024-12-10,2.6,8.6,-2.2,0,8842 ,31123,0 ,1172 ,36219 ,13891,27520,10606,19098,13155
