date,avg temp,max temp,min temp,rainFall,cabbage,potato,strawberry,onion,spinach,cucumber,tomato,apple,carrot,broccoli
2025-02-28,13.4,7.8,3.5,0,"17,520","68,225","43,350",26578,"22,358",0,"39,600","119,148","75,292","38,883"
2025-02-27,14.1,7.3,0.7,0,"17,143","70,789","34,295",25870,"18,774",0,"40,000","111,217","77,056","34,936"
2025-02-26,8.7,2.7,-1.8,0,"16,559","76,619","37,180",25451,"17,403",0,"40,000","131,600","76,242","32,188"
2025-02-25,5.9,3.6,-1.2,0,"16,624","79,333","36,412",24288,"19,055",0,"43,000","118,333","72,045","31,919"
2025-02-24,4.5,-0.1,-4.2,0,"16,410","78,527","38,915",24544,"18,694",0,"43,000","132,757","68,500","31,485"
2025-02-23,0.1,-3.5,-6.1,0,0,0,0,0,"18,094",0,0,0,0,0
2025-02-22,2.1,-2.6,-6.3,0,"16,313","74,000","38,028",23780,"18,297",0,"50,250","150,526","62,000","30,955"
2025-02-21,2.1,-2.1,-5.4,0,"16,146","71,569","42,258",24189,"17,166",0,"50,250","87,718","59,122","28,723"
2025-02-20,1.6,-2.9,-6.2,0,"16,891","67,729","33,510",23680,"17,559",0,"50,167","104,162","57,613","29,069"
2025-02-19,0.9,-3.2,-6.4,0,"15,462","74,775","45,507",24240,"19,789",0,"50,167","138,425","61,000","28,638"
2025-02-18,2.1,-2.4,-5.7,0,"15,883","75,764","37,894",24170,"21,010",0,"54,395","115,508","61,513","29,654"
2025-02-17,3.3,-1.1,-5,0,"16,460","77,336","49,952",25075,"23,609",0,"54,395","127,932","63,441","29,028"
2025-02-16,9.6,3.5,-1.9,0,0,0,0,0,"25,639",0,0,0,0,0
2025-02-15,7.7,4.3,1.1,0,"16,433","79,308","48,952",24766,"24,645",0,"46,809","146,179","63,000","33,068"
2025-02-14,9.7,4.3,-0.5,0,"16,990","80,113","57,886",24928,"25,916",0,"46,809","105,414","70,000","31,457"
2025-02-13,5.8,1.5,-3.9,0,"17,780","79,200","44,767",24489,"21,357",0,"42,442","114,527","75,679","34,476"
2025-02-12,2.4,-1.2,-5.6,1.5,0,0,0,0,"21,591",0,0,0,0,0
2025-02-11,6.7,2.3,-4.2,1,"17,185","75,595","53,269",25203,"20,603",0,"42,442","140,445","74,784","33,521"
2025-02-10,2.5,-2,-5.6,0,"16,971","73,889","49,858",24455,"20,295",0,"42,442","140,250","75,339","33,666"
2025-02-09,1.4,-3.8,-8.4,0,0,0,0,0,"20,564",0,0,0,0,0
2025-02-08,-3.7,-7.2,-10.6,0,"16,839","71,375","44,885",23073,"20,576",0,"43,526","145,595","72,000","33,748"
2025-02-07,-6.4,-9.4,-11.4,0.1,"17,282","73,953","50,850",23001,"18,541",0,"43,526","107,134","72,000","30,212"
2025-02-06,-0.4,-4.1,-10.3,2.6,"16,639","68,473","40,320",23222,"18,448",0,"22,000","141,488","66,500","27,114"
2025-02-05,-4,-8.5,-11.3,0,"15,216","66,406","57,327",24221,"19,668",0,"41,136","124,174","68,863","23,087"
2025-02-04,-5.5,-9.2,-11.7,0,"17,050","63,255","42,054",23183,"22,186",0,"29,571","53,000","67,562","27,332"
2025-02-03,-1.8,-6.3,-11.3,0,"17,432","67,235","47,657",23468,"23,452",0,"29,571","53,000","70,040","28,264"
2025-02-02,6.6,1.5,-4.6,0,0,0,0,0,"22,888",0,0,0,0,0
2025-02-01,7.6,1.7,-2.2,0,"16,800","69,625","44,859",22850,"21,539",0,"31,935","141,366","63,000","35,234"
2025-01-31,0.7,-0.5,-1.9,2.1,0,0,0,0,"21,214",0,0,0,0,0
2025-01-30,-1.1,-2,-5.3,0.1,0,0,0,0,"20,746",0,0,0,0,0
2025-01-29,-1.3,-4.9,-7.4,0,0,0,0,0,0,0,0,0,0,0
2025-01-28,-2.6,-4.4,-6.3,0.2,"15,522","68,000","45,232","23,172","19,668",0,"20,182","141,366","72,309","25,631"
2025-01-27,1.1,-1.8,-4.2,1.5,"16,441","68,000","62,237","23,172","22,186",0,"33,532","141,366","72,309","30,094"
