date,cabbage,potato,strawberry,onion,spinach,cucumber,tomato,apple,carrot,broccoli
2025-03-31,18405,78083,34364,27929,27929,0,45667,121677,71982,38770
2025-03-30,0,0,0,0,0,0,0,0,0,0
2025-03-29,17865,76000,39855,28150,28150,0,44455,110000,61134,45154
2025-03-28,16025,77288,33313,27766,27766,0,47686,96426,53429,51223
2025-03-27,16383,77265,29734,29259,29259,0,38556,145325,68363,46856
2025-03-26,16767,74353,29862,28981,28981,0,48593,105309,68156,45673
2025-03-25,16866,76000,31708,26904,26904,0,30000,70782,62654,46781
2025-03-24,17664,77000,35266,26941,26941,0,43078,79397,58095,41908
2025-03-23,0,0,0,0,0,0,0,0,0,0
2025-03-22,17128,75920,42645,27807,27807,0,36667,55000,63050,32248
2025-03-21,16783,74828,42662,29207,29207,0,43886,102752,72085,31114
2025-03-20,16439,73000,37205,28443,28443,0,33286,141326,76000,32613
2025-03-19,18178,74313,35058,29871,29871,0,48286,93570,76157,35819
2025-03-18,20598,78119,35350,29771,29771,0,36000,75158,72000,40121
2025-03-17,17919,83730,36583,29635,29635,0,51755,111472,73624,33810
2025-03-16,0,0,0,0,0,0,0,0,0,0
2025-03-15,17782,75000,42202,28952,28952,0,38000,56083,73000,31751
2025-03-14,15679,66300,36718,27176,27176,0,54083,94256,67988,36754
2025-03-13,15716,61369,32097,27525,27525,0,40000,63347,66423,41405
2025-03-12,16113,63931,32942,28341,28341,0,52903,107767,67538,37756
2025-03-11,16009,65917,34138,27443,27443,0,40000,67116,72570,34190
2025-03-10,15696,67862,37412,30290,30290,0,46815,125381,74831,29869
2025-03-09,0,0,0,0,0,0,0,0,0,0
2025-03-08,15719,66680,41336,31792,31792,0,40000,160000,78370,25075
2025-03-07,16591,67431,39110,29468,29468,0,42641,93299,79610,23024
2025-03-06,17248,72508,39685,29977,29977,0,35286,136107,72901,28480
2025-03-05,0,0,0,0,0,0,0,0,0,0
2025-03-04,18495,72508,39693,27781,27781,0,36000,111633,74108,34928
2025-03-03,17973,71000,40563,26980,26980,0,36452,132026,76000,35605
2025-03-02,0,0,0,0,0,0,0,0,0,0
2025-03-01,17644,66000,39932,27277,27277,0,39600,153704,73647,37903
2025-02-28,17520,68225,43350,26578,22358,0,39600,119148,75292,38883
2025-02-27,17143,70789,34295,25870,18774,0,40000,111217,77056,34936
2025-02-26,16559,76619,37180,25451,17403,0,40000,131600,76242,32188
2025-02-25,16624,79333,36412,24288,19055,0,43000,118333,72045,31919
2025-02-24,16410,78527,38915,24544,18694,0,43000,132757,68500,31485
2025-02-23,0,0,0,0,18094,0,0,0,0,0
2025-02-22,16313,74000,38028,23780,18297,0,50250,150526,62000,30955
2025-02-21,16146,71569,42258,24189,17166,0,50250,87718,59122,28723
2025-02-20,16891,67729,33510,23680,17559,0,50167,104162,57613,29069
2025-02-19,15462,74775,45507,24240,19789,0,50167,138425,61000,28638
2025-02-18,15883,75764,37894,24170,21010,0,54395,115508,61513,29654
2025-02-17,16460,77336,49952,25075,23609,0,54395,127932,63441,29028
2025-02-16,0,0,0,0,25639,0,0,0,0,0
2025-02-15,16433,79308,48952,24766,24645,0,46809,146179,63000,33068
2025-02-14,16990,80113,57886,24928,25916,0,46809,105414,70000,31457
2025-02-13,17780,79200,44767,24489,21357,0,42442,114527,75679,34476
2025-02-12,0,0,0,0,21591,0,0,0,0,0
2025-02-11,17185,75595,53269,25203,20603,0,42442,140445,74784,33521
2025-02-10,16971,73889,49858,24455,20295,0,42442,140250,75339,33666
2025-02-09,0,0,0,0,20564,0,0,0,0,0
2025-02-08,16839,71375,44885,23073,20576,0,43526,145595,72000,33748
2025-02-07,17282,73953,50850,23001,18541,0,43526,107134,72000,30212
2025-02-06,16639,68473,40320,23222,18448,0,22000,141488,66500,27114
2025-02-05,15216,66406,57327,24221,19668,0,41136,124174,68863,23087
2025-02-04,17050,63255,42054,23183,22186,0,29571,53000,67562,27332
2025-02-03,17432,67235,47657,23468,23452,0,29571,53000,70040,28264
2025-02-02,0,0,0,0,22888,0,0,0,0,0
2025-02-01,16800,69625,44859,22850,21539,0,31935,141366,63000,35234
2025-01-31,0,0,0,0,21214,0,0,0,0,0
2025-01-30,0,0,0,0,20746,0,0,0,0,0
2025-01-29,0,0,0,0,0,0,0,0,0,0
2025-01-28,15522,68000,45232,23172,19668,0,20182,141366,72309,25631
2025-01-27,16441,68000,62237,23172,22186,0,33532,141366,72309,30094
2025-01-26,0,0,0,0,0,0,0,0,0,0
