date,cabbage,potato,strawberry,onion,spinach,cucumber,tomato,apple,carrot,broccoli,month,day,dayofweek,season,price_ma3,price_std3,price_ma7,price_std7,price_ma30,price_std30,price_change,price_change_ma7,month_sin,month_cos
2025-03-31,18405,78083,34364,27929,27929,0,45667,121677,71982,38770.0,3,31,0,1,45049.0,6227.16396122655,45195.0,3956.561217353788,36274.7,6583.002868673828,-0.1413828232271781,0.035912050322856305,1.0,6.123233995736766e-17
2025-03-29,17865,76000,39855,28150,28150,0,44455,110000,61134,45154.0,3,29,5,1,47744.333333333336,3130.5019299358974,44263.28571428572,5974.861273544065,36014.2,6635.273439263485,-0.1184819319446343,0.06131625587979629,1.0,6.123233995736766e-17
2025-03-28,16025,77288,33313,27766,27766,0,47686,96426,53429,51223.0,3,28,4,1,47917.333333333336,2923.2595391672626,42257.57142857143,7725.972621772757,35466.5,6532.162206054697,0.0932004439132661,0.07167606527443016,1.0,6.123233995736766e-17
2025-03-27,16383,77265,29734,29259,29259,0,38556,145325,68363,46856.0,3,27,3,1,46436.666666666664,662.417038829935,39599.0,7317.863440467747,34728.03333333333,5912.307073375641,0.025901517307818533,0.04557520619114524,1.0,6.123233995736766e-17
2025-03-26,16767,74353,29862,28981,28981,0,48593,105309,68156,45673.0,3,26,2,1,44787.333333333336,2554.3759185625013,38022.28571428572,6652.429473866141,34120.76666666667,5548.046003857776,-0.023684829311045097,0.026557040514079127,1.0,6.123233995736766e-17
2025-03-25,16866,76000,31708,26904,26904,0,30000,70782,62654,46781.0,3,25,1,1,40312.333333333336,7396.731462837588,37229.142857142855,5873.621126941893,33586.8,5154.803306726383,0.11627851484203489,0.05660640916666052,1.0,6.123233995736766e-17
2025-03-24,17664,77000,35266,26941,26941,0,43078,79397,58095,41908.0,3,24,0,1,35090.0,5931.722515424802,35376.142857142855,4151.583048612266,32995.03333333333,4574.208154449549,0.2995534606797321,0.04925924293680296,1.0,6.123233995736766e-17
2025-03-22,17128,75920,42645,27807,27807,0,36667,55000,63050,32248.0,3,22,5,1,31991.666666666668,781.6842926210976,33925.142857142855,3139.8658903724904,32700.366666666665,4253.750973397605,0.03644661567140184,-0.012979999803823408,1.0,6.123233995736766e-17
2025-03-21,16783,74828,42662,29207,29207,0,43886,102752,72085,31114.0,3,21,4,1,33182.0,2403.5550752993663,34568.857142857145,3200.0415324687074,32674.0,4259.0997591772375,-0.04596326618219726,-0.03423372044444443,1.0,6.123233995736766e-17
2025-03-20,16439,73000,37205,28443,28443,0,33286,141326,76000,32613.0,3,20,3,1,36184.333333333336,3767.309030771305,36039.0,3676.7097156743675,32786.066666666666,4260.867759549774,-0.08950556966972834,-0.013860840909781855,1.0,6.123233995736766e-17
2025-03-19,18178,74313,35058,29871,29871,0,48286,93570,76157,35819.0,3,19,2,1,36583.333333333336,3224.1796372614035,36773.71428571428,3379.870397628127,32816.333333333336,4262.820503338259,-0.10722564243164423,0.013825598011406513,1.0,6.123233995736766e-17
2025-03-18,20598,78119,35350,29771,29771,0,36000,75158,72000,40121.0,3,18,1,1,35227.333333333336,4361.289985007981,36541.0,3510.1318113903244,32744.566666666666,4228.511327539438,0.18666075125702464,0.049809980834451824,1.0,6.123233995736766e-17
2025-03-17,17919,83730,36583,29635,29635,0,51755,111472,73624,33810.0,3,17,0,1,34105.0,2514.5120799068427,35076.42857142857,3886.098079785835,32532.133333333335,3999.009383657113,0.06484835123303201,0.05045650789458633,1.0,6.123233995736766e-17
2025-03-15,17782,75000,42202,28952,28952,0,38000,56083,73000,31751.0,3,15,5,1,36636.666666666664,4828.069420931213,33828.57142857143,5448.780440219173,32412.2,4013.291541005512,-0.13612123850465252,0.05391830900405392,1.0,6.123233995736766e-17
2025-03-14,15679,66300,36718,27176,27176,0,54083,94256,67988,36754.0,3,14,4,1,38638.333333333336,2447.822365559089,32581.85714285714,6827.36692604534,32257.633333333335,4127.30927196397,-0.11232942881294528,0.04599662397502354,1.0,6.123233995736766e-17
2025-03-13,15716,61369,32097,27525,27525,0,40000,63347,66423,41405.0,3,13,3,1,37783.666666666664,3607.579567151804,31399.85714285714,6699.704257865246,31802.066666666666,4361.519609694558,0.09664689056044073,0.035671065641057154,1.0,6.123233995736766e-17
2025-03-12,16113,63931,32942,28341,28341,0,52903,107767,67538,37756.0,3,12,2,1,33938.333333333336,3949.5182406631247,30474.571428571428,5410.9157529677705,31332.966666666667,4037.865042606298,0.10429950277859024,0.019148055075107386,1.0,6.123233995736766e-17
2025-03-11,16009,65917,34138,27443,27443,0,40000,67116,72570,34190.0,3,11,1,1,29711.333333333332,4559.544969986609,30167.285714285714,4971.739793214146,31016.566666666666,3886.2542881233576,0.14466503732967295,-0.004413080507137909,1.0,6.123233995736766e-17
2025-03-10,15696,67862,37412,30290,30290,0,46815,125381,74831,29869.0,3,10,0,1,25989.333333333332,3512.906251713771,30697.714285714286,5627.295730463767,31051.366666666665,3920.1773929195065,0.1911864406779662,-0.028680059636796745,1.0,6.123233995736766e-17
2025-03-08,15719,66680,41336,31792,31792,0,40000,160000,78370,25075.0,3,8,5,1,25526.333333333332,2755.8592731359913,31985.428571428572,6386.227651677335,30910.1,4038.8186592210527,0.08908095899930513,-0.03985269159861028,1.0,6.123233995736766e-17
2025-03-07,16591,67431,39110,29468,29468,0,42641,93299,79610,23024.0,3,7,4,1,28810.666666666668,5958.884906870585,33394.142857142855,5653.375670888251,31077.4,3889.9852725547435,-0.19157303370786516,-0.04038233844246349,1.0,6.123233995736766e-17
2025-03-06,17248,72508,39685,29977,29977,0,35286,136107,72901,28480.0,3,6,3,1,33004.333333333336,3932.7822636564283,34703.28571428572,3504.3275966671126,31301.066666666666,3592.4933511649033,-0.18460833715071,-0.011810821867376793,1.0,6.123233995736766e-17
2025-03-04,18495,72508,39693,27781,27781,0,36000,111633,74108,34928.0,3,4,1,1,36145.333333333336,1559.367286219304,35194.57142857143,2614.552278889916,31341.8,3566.2356604983365,-0.01901418340120764,0.01653098940415887,1.0,6.123233995736766e-17
2025-03-03,17973,71000,40563,26980,26980,0,36452,132026,76000,35605.0,3,3,0,1,37463.666666666664,1682.581746403756,34702.71428571428,2972.4203782040495,31263.1,3509.973674624191,-0.060628446297126826,0.02169324820003482,1.0,6.123233995736766e-17
2025-03-01,17644,66000,39932,27277,27277,0,39600,153704,73647,37903.0,3,1,5,1,37240.666666666664,2055.1682007395616,34038.42857142857,3244.328685421435,31151.633333333335,3419.2583636622726,-0.02520381657793891,0.04145556343268748,1.0,6.123233995736766e-17
2025-02-28,17520,68225,43350,26578,22358,0,39600,119148,75292,38883.0,2,28,4,4,35335.666666666664,3365.34639128439,32727.0,3277.0404839327207,31069.866666666665,3278.682112588143,0.11297801694527143,0.04335572091072794,0.8660254037844386,0.5000000000000001
2025-02-27,17143,70789,34295,25870,18774,0,40000,111217,77056,34936.0,2,27,3,4,33014.333333333336,1669.6383840013361,31325.0,2088.0359990512393,30972.733333333334,3076.139227526869,0.08537343109233264,0.02936599472634414,0.8660254037844386,0.5000000000000001
2025-02-26,16559,76619,37180,25451,17403,0,40000,131600,76242,32188.0,2,26,2,4,31864.0,354.712559683349,30425.285714285714,1563.8421397621144,31101.366666666665,3318.705194992094,0.008427582317741766,0.012275244619820182,0.8660254037844386,0.5000000000000001
2025-02-25,16624,79333,36412,24288,19055,0,43000,118333,72045,31919.0,2,25,1,4,31453.0,482.7960231785879,30063.285714285714,1368.9427446375262,31315.833333333332,3588.2932075962353,0.01378434175003962,0.014152073595196641,0.8660254037844386,0.5000000000000001
2025-02-24,16410,78527,38915,24544,18694,0,43000,132757,68500,31485.0,2,24,0,4,30387.666666666668,1465.797166503693,29650.285714285714,1131.237038863073,31497.1,3753.369762741897,0.01712162816992402,-0.005270331375471203,0.8660254037844386,0.5000000000000001
