date,cabbage,potato,strawberry,onion,spinach,cucumber,tomato,apple,carrot,broccoli,month,day,dayofweek,season,price_ma3,price_std3,price_ma7,price_std7,price_ma30,price_std30,price_change,price_change_ma7,month_sin,month_cos
2025-03-31,18405.0,78083,34364,27929,27929,0,45667,121677,71982,38770,3,31,0,1,17431.666666666668,1247.7713465748025,17139.285714285714,859.3506684866594,17064.7,1081.3895004689957,0.030226700251889227,0.011505800644290742,1.0,6.123233995736766e-17
2025-03-29,17865.0,76000,39855,28150,28150,0,44455,110000,61134,45154,3,29,5,1,16757.666666666668,975.5415589984243,16956.85714285714,657.7784400467627,16994.966666666667,1059.2036853820355,0.11482059282371293,0.010124345682829241,1.0,6.123233995736766e-17
2025-03-28,16025.0,77288,33313,27766,27766,0,47686,96426,53429,51223,3,28,4,1,16391.666666666668,371.0759131674617,16802.285714285714,521.9021984641982,16937.666666666668,1057.0086070618115,-0.02185191967283162,-0.003289189424702656,1.0,6.123233995736766e-17
2025-03-27,16383.0,77265,29734,29259,29259,0,38556,145325,68363,46856,3,27,3,1,16672.0,255.1293789428034,16861.428571428572,435.4326802704235,16966.533333333333,1042.9561346725113,-0.022902129182322373,-0.013833927995559634,1.0,6.123233995736766e-17
2025-03-26,16767.0,74353,29862,28981,28981,0,48593,105309,68156,45673,3,26,2,1,17099.0,491.80178934175683,17117.85714285714,603.0183602984556,16935.833333333332,1073.823368360567,-0.005869797225186768,-0.027346071637123468,1.0,6.123233995736766e-17
2025-03-25,16866.0,76000,31708,26904,26904,0,30000,70782,62654,46781,3,25,1,1,17219.333333333332,406.7644691133814,17665.14285714286,1418.5338003928916,16906.366666666665,1090.6136672831592,-0.045176630434782594,-0.005149513343228551,1.0,6.123233995736766e-17
2025-03-24,17664.0,77000,35266,26941,26941,0,43078,79397,58095,41908,3,24,0,1,17191.666666666668,443.93730788602335,17815.571428571428,1374.8237289610113,16892.833333333332,1093.6466391229035,0.031293787949556284,0.002404922461769297,1.0,6.123233995736766e-17
2025-03-22,17128.0,75920,42645,27807,27807,0,36667,55000,63050,32248,3,22,5,1,16783.333333333332,344.5001209478428,17832.428571428572,1373.3781777236727,16851.8,1086.7868299687664,0.020556515521658714,0.01709558876463944,1.0,6.123233995736766e-17
2025-03-21,16783.0,74828,42662,29207,29207,0,43886,102752,72085,31114,3,21,4,1,17133.333333333332,920.9127718373156,17625.428571428572,1589.4494704291708,16847.2,1085.8691227420525,0.020925847070989656,0.013822616743965439,1.0,6.123233995736766e-17
2025-03-20,16439.0,73000,37205,28443,28443,0,33286,141326,76000,32613,3,20,3,1,18405.0,2088.7716486011086,17473.0,1728.761020692739,16880.433333333334,1099.0136858154453,-0.09566508966883047,0.0073134256395789455,1.0,6.123233995736766e-17
