date,cabbage,potato,strawberry,onion,spinach,cucumber,tomato,apple,carrot,broccoli,month,day,dayofweek,season,price_ma3,price_std3,price_ma7,price_std7,price_ma30,price_std30,price_change,price_change_ma7,month_sin,month_cos
2025-03-31,18405,78083,34364,27929,27929,0,45667,121677,71982.0,38770,3,31,0,1,62181.666666666664,9320.764793370374,63401.857142857145,6508.414333987362,70761.66666666667,6179.021445422192,0.177446265580528,0.027706299926812807,1.0,6.123233995736766e-17
2025-03-29,17865,76000,39855,28150,28150,0,44455,110000,61134.0,45154,3,29,5,1,60975.333333333336,7468.264211537553,62125.857142857145,5311.378710798057,70428.93333333333,6376.641424564355,0.14421007318123125,-0.015548615509076094,1.0,6.123233995736766e-17
2025-03-28,16025,77288,33313,27766,27766,0,47686,96426,53429.0,51223,3,28,4,1,63316.0,8563.018685019862,63690.28571428572,6459.271778208199,70361.86666666667,6487.3913185146375,-0.21845150154323245,-0.043509077091357255,1.0,6.123233995736766e-17
2025-03-27,16383,77265,29734,29259,29259,0,38556,145325,68363.0,46856,3,27,3,1,66391.0,3237.991507091901,66914.71428571429,6107.23144352307,70501.33333333333,6146.850151224449,0.003037150067492167,-0.012596224125908153,1.0,6.123233995736766e-17
2025-03-26,16767,74353,29862,28981,28981,0,48593,105309,68156.0,45673,3,26,2,1,62968.333333333336,5037.860094656522,68028.14285714286,7052.5870768240375,70255.9,6377.8306134987315,0.08781562230663642,-0.004782086833962577,1.0,6.123233995736766e-17
2025-03-25,16866,76000,31708,26904,26904,0,30000,70782,62654.0,46781,3,25,1,1,61266.333333333336,2753.5831807542386,68577.28571428571,7212.053607544121,70034.46666666666,6565.801459775816,0.07847491178242527,-0.020478322100226296,1.0,6.123233995736766e-17
2025-03-24,17664,77000,35266,26941,26941,0,43078,79397,58095.0,41908,3,24,0,1,64410.0,7093.463540471558,70144.42857142857,6895.34574567337,70060.7,6536.804513806648,-0.07858842188739101,-0.03046788875407569,1.0,6.123233995736766e-17
2025-03-22,17128,75920,42645,27807,27807,0,36667,55000,63050.0,32248,3,22,5,1,70378.33333333333,6641.547886850825,72273.71428571429,4406.497351043885,70224.2,6283.635354551086,-0.1253381424706943,-0.008709701117434045,1.0,6.123233995736766e-17
2025-03-21,16783,74828,42662,29207,29207,0,43886,102752,72085.0,31114,3,21,4,1,74747.33333333333,2306.984250776907,72979.14285714286,2778.19932261624,70455.86666666667,6136.406792776666,-0.05151315789473687,0.012561621503884577,1.0,6.123233995736766e-17
2025-03-20,16439,73000,37205,28443,28443,0,33286,141326,76000.0,32613,3,20,3,1,74719.0,2356.0311967372936,72170.28571428571,3739.7441407254164,70575.66666666667,6204.018849508462,-0.00206153078508875,0.017562183426473626,1.0,6.123233995736766e-17
2025-03-19,18178,74313,35058,29871,29871,0,48286,93570,76157.0,35819,3,19,2,1,73927.0,2094.9985680184523,70961.42857142857,3662.3336757286042,70535.13333333333,6171.243197468212,0.05773611111111121,0.007950981019091372,1.0,6.123233995736766e-17
2025-03-18,20598,78119,35350,29771,29771,0,36000,75158,72000.0,40121,3,18,1,1,72874.66666666667,819.2223955268176,70449.0,3006.4260620646396,70507.86666666667,6147.308021617471,-0.02205802455720962,-0.004613427792679846,1.0,6.123233995736766e-17
2025-03-17,17919,83730,36583,29635,29635,0,51755,111472,73624.0,33810,3,17,0,1,71537.33333333333,3089.6066632069337,70853.42857142857,3412.793863153148,70507.86666666667,6147.308021617471,0.008547945205479524,-0.007913365114635187,1.0,6.123233995736766e-17
2025-03-15,17782,75000,42202,28952,28952,0,38000,56083,73000.0,31751,3,15,5,1,69137.0,3435.7507185474533,71531.42857142857,4387.253577396205,70453.73333333334,6126.0347299572595,0.0737188915691005,-0.011359633382814396,1.0,6.123233995736766e-17
2025-03-14,15679,66300,36718,27176,27176,0,54083,94256,67988.0,36754,3,14,4,1,67316.33333333333,805.7036262377591,72475.71428571429,5359.6151825254,70237.06666666667,6147.780490625732,0.023561115878536043,-0.008743915617388853,1.0,6.123233995736766e-17
2025-03-13,15716,61369,32097,27525,27525,0,40000,63347,66423.0,41405,3,13,3,1,68843.66666666667,3274.900965423635,73177.57142857143,4982.400922484645,70266.23333333334,6138.811469170707,-0.016509224436613512,-0.014436509390813248,1.0,6.123233995736766e-17
2025-03-12,16113,63931,32942,28341,28341,0,52903,107767,67538.0,37756,3,12,2,1,71646.33333333333,3733.206709162066,74275.42857142857,3994.795441451605,70304.2,6117.708532020584,-0.06933994763676454,-0.015634439734454934,1.0,6.123233995736766e-17
2025-03-11,16009,65917,34138,27443,27443,0,40000,67116,72570.0,34190,3,11,1,1,75257.0,2923.3725386955634,75484.28571428571,2680.242446388663,70387.6,6095.712583730233,-0.030214750571287308,-0.0011644892106147703,1.0,6.123233995736766e-17
2025-03-10,15696,67862,37412,30290,30290,0,46815,125381,74831.0,29869,3,10,0,1,77603.66666666667,2479.9516796366556,75638.14285714286,2510.6125035242017,70068.6,6226.568710248616,-0.045157585810897016,3.0722194909944224e-05,1.0,6.123233995736766e-17
2025-03-08,15719,66680,41336,31792,31792,0,40000,160000,78370.0,25075,3,8,5,1,76960.33333333333,3569.7395329817336,75704.0,2491.887704798964,69984.53333333334,6176.879865932296,-0.015575932671774928,0.0032114570449716423,1.0,6.123233995736766e-17
2025-03-07,16591,67431,39110,29468,29468,0,42641,93299,79610.0,23024,3,7,4,1,75539.66666666667,3576.3000899438857,75516.28571428571,2299.6636503534196,69782.5,5989.427672559912,0.09202891592707929,0.00696180885473804,1.0,6.123233995736766e-17
2025-03-06,17248,72508,39685,29977,29977,0,35286,136107,72901.0,28480,3,6,3,1,74336.33333333333,1562.0666865830876,75035.14285714286,1520.876548634164,69471.73333333334,5696.64619381177,-0.016287040535434727,0.002137000455292399,1.0,6.123233995736766e-17
2025-03-04,18495,72508,39693,27781,27781,0,36000,111633,74108.0,34928,3,4,1,1,74585.0,1246.9157950717192,74912.85714285714,1739.7368027526552,69455.03333333334,5686.972611293997,-0.024894736842105303,0.011856838362857098,1.0,6.123233995736766e-17
2025-03-03,17973,71000,40563,26980,26980,0,36452,132026,76000.0,35605,3,3,0,1,74979.66666666667,1207.1935774069832,74111.71428571429,3004.003923336892,69308.2,5619.1564430111175,0.0319497060301166,0.03039018786564632,1.0,6.123233995736766e-17
2025-03-01,17644,66000,39932,27277,27277,0,39600,153704,73647.0,37903,3,1,5,1,75331.66666666667,1704.8461318643003,72111.71428571429,5311.50068920483,69079.46666666666,5475.1849833862,-0.021848270732614306,0.03278008739564348,1.0,6.123233995736766e-17
2025-02-28,17520,68225,43350,26578,22358,0,39600,119148,75292.0,38883,2,28,4,4,76196.66666666667,882.8733393486635,70036.71428571429,7135.69007908532,68910.86666666667,5407.138593998821,-0.02289244186046513,0.039642983968386517,0.8660254037844386,0.5000000000000001
2025-02-27,17143,70789,34295,25870,18774,0,40000,111217,77056.0,34936,2,27,3,4,75114.33333333333,2689.0991676270783,67511.14285714286,8037.303744178466,68628.13333333333,5282.286337101139,0.010676529996589856,0.034981248496462336,0.8660254037844386,0.5000000000000001
2025-02-26,16559,76619,37180,25451,17403,0,40000,131600,76242.0,32188,2,26,2,4,72262.33333333333,3875.5730328988284,65217.42857142857,7095.213359656093,68326.26666666666,5037.123665643664,0.0582552571309598,0.032264644132506216,0.8660254037844386,0.5000000000000001
2025-02-25,16624,79333,36412,24288,19055,0,43000,118333,72045.0,31919,2,25,1,4,67515.0,5094.425875405322,63113.28571428572,5216.033157942592,68062.3,4810.393396701922,0.051751824817518166,0.01960097289771388,0.8660254037844386,0.5000000000000001
2025-02-24,16410,78527,38915,24544,18694,0,43000,132757,68500.0,31485,2,24,0,4,63207.333333333336,4804.160835497976,61884.142857142855,3488.035331843003,67964.0,4756.024868703182,0.10483870967741926,0.013207855066639842,0.8660254037844386,0.5000000000000001
