date,cabbage,potato,strawberry,onion,spinach,cucumber,tomato,apple,carrot,broccoli,month,day,dayofweek,season,price_ma3,price_std3,price_ma7,price_std7,price_ma30,price_std30,price_change,price_change_ma7,month_sin,month_cos
2024-10-16,29288,35212,0,18393,27497,36000.0,69880,112750,87000,49926,10,16,2,3,36000.0,0.0,36000.0,0.0,31646.7,4947.717956377619,0.0,0.0,-0.8660254037844386,0.5000000000000001
2024-10-15,29061,34384,0,18648,30057,36000.0,73978,119130,95000,63074,10,15,1,3,36000.0,0.0,36000.0,0.0,31703.066666666666,5008.284522415905,0.0,0.040816326530612256,-0.8660254037844386,0.5000000000000001
2024-10-14,32493,32886,0,18962,30067,36000.0,97726,108314,92000,58463,10,14,0,3,36000.0,0.0,34857.142857142855,3023.7157840736195,31710.2,5014.763922658717,0.0,0.03129251700680274,-0.8660254037844386,0.5000000000000001
2024-10-12,30219,34858,0,18979,28212,36000.0,96500,66000,77000,64821,10,12,5,3,36000.0,0.0,34000.0,3464.1016151375934,31403.333333333332,5024.867411757909,0.0,0.0012173290368779263,-0.8660254037844386,0.5000000000000001
2024-10-11,28852,35974,0,20776,35056,36000.0,99587,66000,74750,64614,10,11,4,3,36000.0,0.0,34285.71428571428,3728.9089429430646,31078.433333333334,5032.512471049022,0.0,0.013830914723751706,-0.8660254037844386,0.5000000000000001
2024-10-10,29153,37468,0,19086,34889,36000.0,97850,60000,69806,81836,10,10,3,3,36000.0,0.0,34131.0,3667.8959000130044,31023.466666666667,4985.691614827425,0.0,0.015557622798285875,-0.8660254037844386,0.5000000000000001
2024-10-09,28906,37499,0,19232,37148,36000.0,97217,39000,66647,63612,10,9,2,3,33333.333333333336,4618.802153517007,33916.71428571428,3583.348839390438,30891.733333333334,4901.159890399819,0.0,0.01050479780976957,-0.8660254037844386,0.5000000000000001
2024-10-08,30663,36840,0,19409,40268,36000.0,89556,39000,66490,54676,10,8,1,3,31333.333333333332,4163.33199893226,33883.142857142855,3561.613044140165,30540.866666666665,4899.626669334128,0.2857142857142858,0.01650226730216973,-0.8660254037844386,0.5000000000000001
2024-10-07,30326,35754,0,19778,46024,28000.0,90353,39000,68000,55894,10,7,0,3,32000.0,5291.502622129179,33643.71428571428,3450.181479008627,30098.033333333333,4988.756029611816,-0.06666666666666665,-0.0064030522026814,-0.8660254037844386,0.5000000000000001
2024-10-05,34389,35164,0,20323,44593,30000.0,91957,130000,57000,60513,10,5,5,3,34305.666666666664,4034.8849219442905,34000.857142857145,2844.9102170114315,30079.4,4997.898114069598,-0.21052631578947367,0.034201453072482554,-0.8660254037844386,0.5000000000000001
2024-10-04,31859,34828,0,19598,58547,38000.0,93565,130000,57288,65500,10,4,4,3,35805.666666666664,1911.7521631564662,33293.71428571428,4265.593226202834,30081.7,4997.876191357453,0.08829509980811645,0.053567630702673244,-0.8660254037844386,0.5000000000000001
2024-10-03,31362,34037,0,19302,48891,34917.0,91833,130000,65000,48100,10,3,3,3,35060.666666666664,644.6210773263671,31733.714285714286,4254.363121717233,29796.5,4769.3390039378155,0.01208695652173919,0.05478266273263104,-0.8660254037844386,0.5000000000000001
2024-10-02,33025,35399,0,18750,60101,34500.0,78222,25000,69000,48656,10,2,2,3,34863.0,786.0960501109696,30272.714285714286,4710.565950225906,29557.0,4682.959107231221,-0.03536977491961413,0.04704237560863034,-0.8660254037844386,0.5000000000000001
2024-10-01,31527,33861,0,18759,55708,35765.0,69524,25000,74000,46790,10,1,1,3,33529.666666666664,2720.8969722011457,29026.285714285714,4557.429637938593,29345.366666666665,4594.498212692727,0.04198228644680113,0.03197615297809902,-0.8660254037844386,0.5000000000000001
2024-09-30,34299,34417,0,19718,79466,34324.0,69875,29278,78409,52833,9,30,0,3,29958.0,4660.696514470763,28202.714285714286,3545.2068446605217,29022.3,4466.498012213079,0.12537704918032788,0.023747419540299193,-1.0,-1.8369701987210297e-16
2024-09-28,29463,37045,0,19962,85599,30500.0,64806,29278,81500,65455,9,28,5,3,27543.333333333332,2754.3843837295444,27653.0,2613.852138128566,28772.5,4368.242310049927,0.217564870259481,-0.007353280803818585,-1.0,-1.8369701987210297e-16
2024-09-27,33730,38931,0,20674,75396,25050.0,69083,29278,79110,90000,9,27,4,3,25606.666666666668,1288.578027646416,28092.428571428572,3332.120839002321,28635.633333333335,4376.566584414785,-0.07496307237813882,0.07993159208814316,-1.0,-1.8369701987210297e-16
