date,cabbage,potato,strawberry,onion,spinach,cucumber,tomato,apple,carrot,broccoli,month,day,dayofweek,season,price_ma3,price_std3,price_ma7,price_std7,price_ma30,price_std30,price_change,price_change_ma7,month_sin,month_cos
2025-03-31,18405,78083,34364,27929.0,27929,0,45667,121677,71982,38770,3,31,0,1,27948.333333333332,192.72865208203385,27990.0,908.4543650251629,28013.233333333334,1704.5835103267193,-0.007850799289520372,0.0013183327611109932,1.0,6.123233995736766e-17
2025-03-29,17865,76000,39855,28150.0,28150,0,44455,110000,61134,45154,3,29,5,1,28391.666666666668,775.2833890477449,27972.571428571428,910.9864355270199,27874.933333333334,1871.7676125528799,0.01382986386227758,-0.004407797986170621,1.0,6.123233995736766e-17
2025-03-28,16025,77288,33313,27766.0,27766,0,47686,96426,53429,51223,3,28,4,1,28668.666666666668,793.9939126551011,28123.571428571428,1025.6789389054532,27742.9,1987.8021540002146,-0.05102703441676071,-0.002546244391938338,1.0,6.123233995736766e-17
2025-03-27,16383,77265,29734,29259.0,29259,0,38556,145325,68363,46856,3,27,3,1,28381.333333333332,1286.9368023851655,28220.285714285714,1018.2342091885492,27606.7,2121.64115315438,0.009592491632448796,-0.0020860343216692373,1.0,6.123233995736766e-17
2025-03-26,16767,74353,29862,28981.0,28981,0,48593,105309,68156,45673,3,26,2,1,27608.666666666668,1188.6195073838196,28307.714285714286,1141.1419301567294,27439.4,2183.8306205633216,0.07720041629497465,-0.0029765369123477665,1.0,6.123233995736766e-17
2025-03-25,16866,76000,31708,26904.0,26904,0,30000,70782,62654,46781,3,25,1,1,27217.333333333332,511.00130462979826,28420.571428571428,1252.4618233892538,27279.033333333333,2242.5761892001497,-0.0013733714412976772,-0.013349572352592534,1.0,6.123233995736766e-17
2025-03-24,17664,77000,35266,26941.0,26941,0,43078,79397,58095,41908,3,24,0,1,27985.0,1143.4386734757675,28810.714285714286,1119.6228106354097,27218.066666666666,2277.7097985556534,-0.031143237314345318,-0.00978326629937909,1.0,6.123233995736766e-17
2025-03-22,17128,75920,42645,27807.0,27807,0,36667,55000,63050,32248,3,22,5,1,28485.666666666668,700.9745596905469,29098.0,760.2335167564516,27145.566666666666,2321.0362828780685,-0.047933714520491666,0.00400173631455888,1.0,6.123233995736766e-17
2025-03-21,16783,74828,42662,29207.0,29207,0,43886,102752,72085,31114,3,21,4,1,29173.666666666668,714.5833284742619,29007.85714285714,952.0375392758227,27049.6,2352.0562771826167,0.026860739021903557,0.009038069477535573,1.0,6.123233995736766e-17
2025-03-20,16439,73000,37205,28443.0,28443,0,33286,141326,76000,32613,3,20,3,1,29361.666666666668,797.1582862476903,28767.571428571428,1094.9352883683066,26892.333333333332,2360.546449496295,-0.047805563924877004,0.0010876483077020271,1.0,6.123233995736766e-17
2025-03-19,18178,74313,35058,29871.0,29871,0,48286,93570,76157,35819,3,19,2,1,29759.0,118.45674315977203,28753.0,1100.6384510818716,26784.333333333332,2361.2720612259236,0.0033589734976990915,0.01259163886886724,1.0,6.123233995736766e-17
2025-03-18,20598,78119,35350,29771.0,29771,0,36000,75158,72000,40121,3,18,1,1,29452.666666666668,438.88988748130663,28406.14285714286,1071.7926460796411,26603.8,2323.8870588022696,0.004589168213261274,-0.0013155596749487536,1.0,6.123233995736766e-17
