date,cabbage,potato,strawberry,onion,spinach,cucumber,tomato,apple,carrot,broccoli,month,day,dayofweek,season,price_ma3,price_std3,price_ma7,price_std7,price_ma30,price_std30,price_change,price_change_ma7,month_sin,month_cos
2025-03-31,18405,78083,34364,27929,27929.0,0,45667,121677,71982,38770,3,31,0,1,27948.333333333332,192.72865209466428,27990.0,908.4543650327253,26998.333333333332,3765.774906137228,-0.007850799289520372,0.0013183327611109932,1.0,6.123233995736766e-17
2025-03-29,17865,76000,39855,28150,28150.0,0,44455,110000,61134,45154,3,29,5,1,28391.666666666668,775.2833890508685,27972.571428571428,910.9864355345628,26670.5,4095.6138418305586,0.01382986386227758,-0.004407797986170621,1.0,6.123233995736766e-17
2025-03-28,16025,77288,33313,27766,27766.0,0,47686,96426,53429,51223,3,28,4,1,28668.666666666668,793.9939126581414,28123.571428571428,1025.678938912141,26342.066666666666,4359.444989457578,-0.05102703441676071,-0.002546244391938338,1.0,6.123233995736766e-17
2025-03-27,16383,77265,29734,29259,29259.0,0,38556,145325,68363,46856,3,27,3,1,28381.333333333332,1286.936802387049,28220.285714285714,1018.2342091952779,25988.733333333334,4659.307843620563,0.009592491632448796,-0.0020860343216692373,1.0,6.123233995736766e-17
2025-03-26,16767,74353,29862,28981,28981.0,0,48593,105309,68156,45673,3,26,2,1,27608.666666666668,1188.6195073858785,28307.714285714286,1141.1419301627266,25598.733333333334,4861.417764919249,0.07720041629497465,-0.0029765369123477665,1.0,6.123233995736766e-17
2025-03-25,16866,76000,31708,26904,26904.0,0,30000,70782,62654,46781,3,25,1,1,27217.333333333332,511.00130463460715,28420.571428571428,1252.46182339471,25292.333333333332,4930.079885577512,-0.0013733714412976772,-0.013349572352592534,1.0,6.123233995736766e-17
2025-03-24,17664,77000,35266,26941,26941.0,0,43078,79397,58095,41908,3,24,0,1,27985.0,1143.4386734778973,28810.714285714286,1119.6228106414817,25095.866666666665,4980.817954800765,-0.031143237314345318,-0.00978326629937909,1.0,6.123233995736766e-17
2025-03-22,17128,75920,42645,27807,27807.0,0,36667,55000,63050,32248,3,22,5,1,28485.666666666668,700.974559694001,29098.0,760.23351676536,24984.8,4975.401764406218,-0.047933714520491666,0.00400173631455888,1.0,6.123233995736766e-17
2025-03-21,16783,74828,42662,29207,29207.0,0,43886,102752,72085,31114,3,21,4,1,29173.666666666668,714.583328477623,29007.85714285714,952.0375392829441,24912.533333333333,4948.669446625948,0.026860739021903557,0.009038069477535573,1.0,6.123233995736766e-17
2025-03-20,16439,73000,37205,28443,28443.0,0,33286,141326,76000,32613,3,20,3,1,29361.666666666668,797.1582862506966,28767.571428571428,1094.9352883745173,24760.466666666667,4881.7957106924,-0.047805563924877004,0.0010876483077020271,1.0,6.123233995736766e-17
2025-03-19,18178,74313,35058,29871,29871.0,0,48286,93570,76157,35819,3,19,2,1,29759.0,118.45674317990922,28753.0,1100.6384510880514,24676.233333333334,4837.665792818237,0.0033589734976990915,0.01259163886886724,1.0,6.123233995736766e-17
2025-03-18,20598,78119,35350,29771,29771.0,0,36000,75158,72000,40121,3,18,1,1,29452.666666666668,438.8898874867613,28406.14285714286,1071.7926460860142,24392.433333333334,4771.693602930215,0.004589168213261274,-0.0013155596749487536,1.0,6.123233995736766e-17
2025-03-17,17919,83730,36583,29635,29635.0,0,51755,111472,73624,33810,3,17,0,1,28587.666666666668,1269.3401172807044,28480.285714285714,1193.0380986269765,24119.766666666666,4686.706701119046,0.023590770931196436,-0.008720382253117569,1.0,6.123233995736766e-17
2025-03-15,17782,75000,42202,28952,28952.0,0,38000,56083,73000,31751,3,15,5,1,27884.333333333332,940.948634803321,28788.428571428572,1708.2867496591766,23818.7,4609.667451168273,0.06535178098322048,-0.0008240338548574565,1.0,6.123233995736766e-17
2025-03-14,15679,66300,36718,27176,27176.0,0,54083,94256,67988,36754,3,14,4,1,27680.666666666668,597.8965908401271,28862.14285714286,1727.5457956893517,23530.133333333335,4547.790511154705,-0.012679382379654824,-0.01258567177027833,1.0,6.123233995736766e-17
2025-03-13,15716,61369,32097,27525,27525.0,0,40000,63347,66423,41405,3,13,3,1,27769.666666666668,496.4849779582876,29262.285714285714,1590.886305839807,23309.733333333334,4525.170508759733,-0.02879220916693126,0.0005180729364800962,1.0,6.123233995736766e-17
2025-03-12,16113,63931,32942,28341,28341.0,0,52903,107767,67538,37756,3,12,2,1,28691.333333333332,1455.4732334667601,29298.85714285714,1546.6199089855677,23078.1,4479.582341601497,0.03272237000327949,0.008872482569667661,1.0,6.123233995736766e-17
2025-03-11,16009,65917,34138,27443,27443.0,0,40000,67116,72570,34190,3,11,1,1,29841.666666666668,2208.891652693296,29104.428571428572,1758.1803905537427,22751.433333333334,4439.706837817417,-0.09399141630901287,0.002642387688163859,1.0,6.123233995736766e-17
2025-03-10,15696,67862,37412,30290,30290.0,0,46815,125381,74831,29869,3,10,0,1,30516.666666666668,1178.4639720153011,29080.714285714286,1785.2359054502206,22451.6,4415.609643543415,-0.047244589833920436,0.047499837791271156,1.0,6.123233995736766e-17
2025-03-08,15719,66680,41336,31792,31792.0,0,40000,160000,78370,25075,3,8,5,1,30412.333333333332,1221.6301950009613,27947.571428571428,2996.298541933803,22097.533333333333,4185.268357346306,0.07886520971901723,0.08152082372578563,1.0,6.123233995736766e-17
2025-03-07,16591,67431,39110,29468,29468.0,0,42641,93299,79610,23024,3,7,4,1,29075.333333333332,1149.453928323431,26087.85714285714,4062.6725780210936,21777.333333333332,3764.29215156245,-0.01697968442472564,0.0815085824476804,1.0,6.123233995736766e-17
2025-03-06,17248,72508,39685,29977,29977.0,0,35286,136107,72901,28480,3,6,3,1,28246.0,1551.6671679212914,24364.285714285714,4868.920815209091,21576.8,3490.7696651581377,0.07904683056765416,0.07154905091649733,1.0,6.123233995736766e-17
2025-03-04,18495,72508,39693,27781,27781.0,0,36000,111633,74108,34928,3,4,1,1,27346.0,404.93332785155155,22804.0,4507.08427552464,21340.5,3123.103383078313,0.029688658265381696,0.06301536210395452,1.0,6.123233995736766e-17
2025-03-03,17973,71000,40563,26980,26980.0,0,36452,132026,76000,35605,3,3,0,1,25538.333333333332,2758.2498678216907,21505.85714285714,4127.311450513384,21132.433333333334,2877.499377555455,-0.010888294167247126,0.0635112914360629,1.0,6.123233995736766e-17
2025-03-01,17644,66000,39932,27277,27277.0,0,39600,153704,73647,37903,3,1,5,1,22803.0,4268.930896606924,20236.428571428572,3478.5673706852817,20940.233333333334,2657.6141060728864,0.22001073441273822,0.06348180274844137,1.0,6.123233995736766e-17
2025-02-28,17520,68225,43350,26578,22358.0,0,39600,119148,75292,38883,2,28,4,4,19511.666666666668,2558.5387105413743,18953.571428571428,1595.5284241894867,20722.533333333333,2372.876803892862,0.1909023117076809,0.04146399123624064,0.8660254037844386,0.5000000000000001
