date,cabbage,potato,strawberry,onion,spinach,cucumber,tomato,apple,carrot,broccoli,month,day,dayofweek,season,price_ma3,price_std3,price_ma7,price_std7,price_ma30,price_std30,price_change,price_change_ma7,month_sin,month_cos
2025-03-31,18405,78083,34364.0,27929,27929,0,45667,121677,71982,38770,3,31,0,1,35844.0,3513.1525728329234,33443.142857142855,3533.0034639351456,36986.166666666664,3809.147167500542,-0.1377744323171497,-0.02249372447248719,1.0,6.123233995736766e-17
2025-03-29,17865,76000,39855.0,28150,28150,0,44455,110000,61134,45154,3,29,5,1,34300.666666666664,5132.277694487693,34626.142857142855,4982.008545039331,37108.3,3780.807359044643,0.1963797916729204,-0.0028685885820184547,1.0,6.123233995736766e-17
2025-03-28,16025,77288,33313.0,27766,27766,0,47686,96426,53429,51223,3,28,4,1,30969.666666666668,2030.3951175413877,35027.142857142855,5553.240808408943,37188.4,3865.5114895523584,0.12036725633954393,-0.009969439654996368,1.0,6.123233995736766e-17
2025-03-27,16383,77265,29734.0,29259,29259,0,38556,145325,68363,46856,3,27,3,1,30434.666666666668,1104.5946466174396,35583.142857142855,5547.848304479133,37194.96666666667,3858.8626203828157,-0.004286384033219459,-0.01841599464041534,1.0,6.123233995736766e-17
2025-03-26,16767,74353,29862.0,28981,28981,0,48593,105309,68156,45673,3,26,2,1,32278.666666666668,2746.825319043041,36343.71428571428,4944.453886738528,37720.73333333333,3881.7200145378274,-0.058218746057777215,-0.01898369043522517,1.0,6.123233995736766e-17
2025-03-25,16866,76000,31708.0,26904,26904,0,30000,70782,62654,46781,3,25,1,1,36539.666666666664,5578.634450592359,37127.71428571428,4110.1095165559855,37988.46666666667,3586.7796307466942,-0.10089037599954631,-0.01548160950367748,1.0,6.123233995736766e-17
2025-03-24,17664,77000,35266.0,26941,26941,0,43078,79397,58095,41908,3,24,0,1,40191.0,4265.1835833880095,37824.142857142855,3388.370376672679,38596.6,4007.1992936849874,-0.173033180912182,-0.020089462726839376,1.0,6.123233995736766e-17
2025-03-22,17128,75920,42645.0,27807,27807,0,36667,55000,63050,32248,3,22,5,1,40837.333333333336,3145.7044256153386,38815.0,3526.9268019986225,39052.8,4376.936414024412,-0.0003984810838685293,0.025965925975990296,1.0,6.123233995736766e-17
2025-03-21,16783,74828,42662.0,29207,29207,0,43886,102752,72085,31114,3,21,4,1,38308.333333333336,3920.2311581507456,37968.28571428572,3144.977727226555,39560.833333333336,5538.617355680272,0.14667383416207502,0.046589972047714534,1.0,6.123233995736766e-17
2025-03-20,16439,73000,37205.0,28443,28443,0,33286,141326,76000,32613,3,20,3,1,35871.0,1164.466830786782,36459.0,3050.703416152065,39631.0,5592.332867109287,0.061241371441611125,0.021972117962321697,1.0,6.123233995736766e-17
2025-03-19,18178,74313,35058.0,29871,29871,0,48286,93570,76157,35819,3,19,2,1,35663.666666666664,809.4419888639009,35850.0,3292.8547391771795,40166.46666666667,6098.216956666409,-0.008260254596888283,0.0082184545195151,1.0,6.123233995736766e-17
2025-03-18,20598,78119,35350.0,29771,29771,0,36000,75158,72000,40121,3,18,1,1,38045.0,3652.472997847159,35718.57142857143,3347.6389618708645,40659.8,6267.010794904318,-0.03370417953694338,-0.003103227427534803,1.0,6.123233995736766e-17
2025-03-17,17919,83730,36583.0,29635,29635,0,51755,111472,73624,33810,3,17,0,1,38501.0,3205.8707085599403,36013.142857142855,3400.1119799469584,40977.63333333333,6230.113473717894,-0.1331453485616796,-0.011849681693138317,1.0,6.123233995736766e-17
2025-03-15,17782,75000,42202.0,28952,28952,0,38000,56083,73000,31751,3,15,5,1,37005.666666666664,5058.638189605572,36692.142857142855,3961.1730766082155,41453.2,6424.578383590277,0.1493545400076257,0.015301995197124623,1.0,6.123233995736766e-17
2025-03-14,15679,66300,36718.0,27176,27176,0,54083,94256,67988,36754,3,14,4,1,33919.0,2460.550141737127,36250.42857142857,3373.1063752920795,41390.46666666667,6426.2028029285475,0.14396984141820113,-0.008104239329064202,1.0,6.123233995736766e-17
2025-03-13,15716,61369,32097.0,27525,27525,0,40000,63347,66423,41405,3,13,3,1,33059.0,1025.5179179334687,36674.28571428572,3619.096421035303,42077.433333333334,6986.6124329681115,-0.025651144435674844,-0.028700151941985004,1.0,6.123233995736766e-17
2025-03-12,16113,63931,32942.0,28341,28341,0,52903,107767,67538,37756,3,12,2,1,34830.666666666664,2314.1014094753787,37759.42857142857,3122.645772263759,42409.333333333336,6727.854135188027,-0.03503427265803505,-0.02809971955728439,1.0,6.123233995736766e-17
2025-03-11,16009,65917,34138.0,27443,27443,0,40000,67116,72570,34190,3,11,1,1,37628.666666666664,3603.8880855731277,38848.142857142855,2410.421915249153,42899.833333333336,6547.825419930179,-0.0875120282262376,-0.020837414439367295,1.0,6.123233995736766e-17
2025-03-10,15696,67862,37412.0,30290,30290,0,46815,125381,74831,29869,3,10,0,1,39286.0,1967.9115833803658,39675.857142857145,1228.4357843128853,43257.2,6342.4780232856,-0.09492935939616798,-0.019599495758835413,1.0,6.123233995736766e-17
2025-03-08,15719,66680,41336.0,31792,31792,0,40000,160000,78370,25075,3,8,5,1,40043.666666666664,1155.5303255804022,40524.142857142855,1437.0967757417839,43517.86666666667,6254.04381033647,0.056916389670160994,0.031680792415165714,1.0,6.123233995736766e-17
2025-03-07,16591,67431,39110.0,29468,29468,0,42641,93299,79610,23024,3,7,4,1,39496.0,334.30973662550565,39518.28571428572,2691.107313248292,44214.566666666666,7108.427585393289,-0.014489101675696059,0.012464810827766246,1.0,6.123233995736766e-17
2025-03-06,17248,72508,39685.0,29977,29977,0,35286,136107,72901,28480,3,6,3,1,39980.333333333336,504.619989037243,39242.57142857143,2834.9340296329133,44894.4,7564.06679796897,-0.00020154687224449575,0.017547817882800878,1.0,6.123233995736766e-17
2025-03-04,18495,72508,39693.0,27781,27781,0,36000,111633,74108,34928,3,4,1,1,40062.666666666664,449.47784521147025,38775.0,3014.054191061638,45623.96666666667,8082.067328919869,-0.021448117742770556,0.008388085853408587,1.0,6.123233995736766e-17
2025-03-03,17973,71000,40563.0,26980,26980,0,36452,132026,76000,35605,3,3,0,1,41281.666666666664,1818.802444834499,38663.857142857145,2988.7997272338807,45987.1,8051.073855768124,0.015801863167384633,0.01478423388539285,1.0,6.123233995736766e-17
2025-03-01,17644,66000,39932.0,27277,27277,0,39600,153704,73647,37903,3,1,5,1,39192.333333333336,4572.590768189951,38301.71428571428,2871.61631108416,46302.166666666664,8016.360478177765,-0.07884659746251443,-0.0017730879191930615,1.0,6.123233995736766e-17
2025-02-28,17520,68225,43350.0,26578,22358,0,39600,119148,75292,38883,2,28,4,4,38275.0,4625.745885800757,38634.0,3206.7260043003625,46455.36666666667,7933.915763585888,0.26403265782183993,0.04678448330035274,0.8660254037844386,0.5000000000000001
2025-02-27,17143,70789,34295.0,25870,18774,0,40000,111217,77056,34936,2,27,3,4,35962.333333333336,1494.1406671849757,37228.28571428572,2940.5510092641052,46810.03333333333,8027.57597493364,-0.0775954814416353,-0.028595863709050744,0.8660254037844386,0.5000000000000001
2025-02-26,16559,76619,37180.0,25451,17403,0,40000,131600,76242,32188,2,26,2,4,37502.333333333336,1282.2543949372755,38830.0,3955.0719757449297,47450.9,7756.8812980741295,0.021091947709546366,0.01118956471817605,0.8660254037844386,0.5000000000000001
2025-02-25,16624,79333,36412.0,24288,19055,0,43000,118333,72045,31919,2,25,1,4,37785.0,1269.0701320268413,38932.0,3914.424904545104,48034.26666666667,7614.596862258107,-0.06431967107799053,-0.02630810439270543,0.8660254037844386,0.5000000000000001
2025-02-24,16410,78527,38915.0,24544,18694,0,43000,132757,68500,31485,2,24,0,4,39733.666666666664,2230.6694809711194,40866.28571428572,5489.931775965189,48589.03333333333,7339.96658586451,0.023324918481119283,-0.014201269304660607,0.8660254037844386,0.5000000000000001
