date,cabbage,potato,strawberry,onion,spinach,cucumber,tomato,apple,carrot,broccoli,month,day,dayofweek,season,price_ma3,price_std3,price_ma7,price_std7,price_ma30,price_std30,price_change,price_change_ma7,month_sin,month_cos
2025-03-31,18405,78083,34364,27929,27929,0,45667.0,121677,71982,38770,3,31,0,1,45936.0,1632.2104643702087,42576.42857142857,6454.578345566224,41843.166666666664,5813.214684773188,0.027263524912833237,0.06868221733336104,1.0,6.123233995736766e-17
2025-03-29,17865,76000,39855,28150,28150,0,44455.0,110000,61134,45154,3,29,5,1,43565.666666666664,4629.5151293988365,41290.71428571428,6630.331507908669,41995.933333333334,5975.130931667776,-0.06775573543597702,0.041288232091322916,1.0,6.123233995736766e-17
2025-03-28,16025,77288,33313,27766,27766,0,47686.0,96426,53429,51223,3,28,4,1,44945.0,5551.5901325655805,41209.42857142857,6588.428337045602,42189.1,6148.525774244594,0.23679842307293297,0.09646079460032254,1.0,6.123233995736766e-17
2025-03-27,16383,77265,29734,29259,29259,0,38556.0,145325,68363,46856,3,27,3,1,39049.666666666664,9306.325393694995,39152.28571428572,6476.3185713875555,42271.8,6241.000435937951,-0.20655238408824317,0.018254012816488006,1.0,6.123233995736766e-17
2025-03-26,16767,74353,29862,28981,28981,0,48593.0,105309,68156,45673,3,26,2,1,40557.0,9549.423699888863,40542.28571428572,7316.655581942223,42658.833333333336,6361.483442716211,0.6197666666666666,0.09651546451163386,1.0,6.123233995736766e-17
2025-03-25,16866,76000,31708,26904,26904,0,30000.0,70782,62654,46781,3,25,1,1,36581.666666666664,6539.41758364857,38743.28571428572,6511.070641973247,42852.23333333333,6630.615624839546,-0.3035888388504573,-0.03551049249275034,1.0,6.123233995736766e-17
2025-03-24,17664,77000,35266,26941,26941,0,43078.0,79397,58095,41908,3,24,0,1,41210.333333333336,3955.3285999184072,41851.142857142855,6826.571575556439,43665.4,6494.573870972286,0.1748438650557722,0.05956986794453304,1.0,6.123233995736766e-17
2025-03-22,17128,75920,42645,27807,27807,0,36667.0,55000,63050,32248,3,22,5,1,37946.333333333336,5414.565571985645,41125.71428571428,6943.280605839941,43789.76666666667,6518.61624137344,-0.16449437178143367,-0.007890149208497161,1.0,6.123233995736766e-17
2025-03-21,16783,74828,42662,29207,29207,0,43886.0,102752,72085,31114,3,21,4,1,41819.333333333336,7710.598766200493,43613.71428571428,8102.828574316929,44127.833333333336,6398.3609597508,0.3184522021270204,0.06590547533170764,1.0,6.123233995736766e-17
2025-03-20,16439,73000,37205,28443,28443,0,33286.0,141326,76000,32613,3,20,3,1,39190.666666666664,7992.825866571367,43058.57142857143,8213.428960289313,44079.7,6405.670204511338,-0.3106490494139088,-0.014430440938570741,1.0,6.123233995736766e-17
2025-03-19,18178,74313,35058,29871,29871,0,48286.0,93570,76157,35819,3,19,2,1,45347.0,8278.483979570145,45861.0,7650.673957240987,44384.9,6083.696139173289,0.3412777777777778,0.07603013754913053,1.0,6.123233995736766e-17
2025-03-18,20598,78119,35350,29771,29771,0,36000.0,75158,72000,40121,3,18,1,1,41918.333333333336,8577.29609686716,44677.28571428572,7851.319543327339,44190.1,6047.932877694848,-0.3044150323640228,0.006480026422761782,1.0,6.123233995736766e-17
2025-03-17,17919,83730,36583,29635,29635,0,51755.0,111472,73624,33810,3,17,0,1,47946.0,8691.782498429178,46222.28571428572,6860.814716302584,44440.96666666667,5849.322209384118,0.36197368421052634,0.07430717390333645,1.0,6.123233995736766e-17
2025-03-15,17782,75000,42202,28952,28952,0,38000.0,56083,73000,31751,3,15,5,1,44027.666666666664,8765.40337539196,44543.0,6718.017812817896,44166.666666666664,5685.1512722622065,-0.2973762550154392,0.013748691060127025,1.0,6.123233995736766e-17
2025-03-14,15679,66300,36718,27176,27176,0,54083.0,94256,67988,36754,3,14,4,1,48995.333333333336,7812.497445332907,45206.0,6171.44434742295,43633.333333333336,6903.540832282171,0.3520749999999999,0.08600810003039765,1.0,6.123233995736766e-17
2025-03-13,15716,61369,32097,27525,27525,0,40000.0,63347,66423,41405,3,13,3,1,44301.0,7449.550523353705,42520.71428571428,5739.487599495859,43201.76666666667,6626.90714609667,-0.24389921176492824,0.03287833812563575,1.0,6.123233995736766e-17
2025-03-12,16113,63931,32942,28341,28341,0,52903.0,107767,67538,37756,3,12,2,1,46572.666666666664,6454.912573639785,41949.28571428572,6211.954971780888,42854.13333333333,7060.043160624698,0.32257500000000006,0.06594967290348516,1.0,6.123233995736766e-17
2025-03-11,16009,65917,34138,27443,27443,0,40000.0,67116,72570,34190,3,11,1,1,42271.666666666664,3934.6420845272064,39599.142857142855,4145.366908915069,42076.4,7198.653871288648,-0.1455730001068034,0.008511108689920934,1.0,6.123233995736766e-17
2025-03-10,15696,67862,37412,30290,30290,0,46815.0,125381,74831,29869,3,10,0,1,43152.0,3436.116557976366,39542.0,4141.675546604005,41807.566666666666,7425.878156282415,0.17037499999999994,0.02930725156232142,1.0,6.123233995736766e-17
2025-03-08,15719,66680,41336,31792,31792,0,40000.0,160000,78370,25075,3,8,5,1,39309.0,3725.8713074929215,38511.28571428572,2664.3038311660225,40919.8,8342.068669266439,-0.061935695691939685,0.003539394419464286,1.0,6.123233995736766e-17
2025-03-07,16591,67431,39110,29468,29468,0,42641.0,93299,79610,23024,3,7,4,1,37975.666666666664,4056.0387489929417,38511.28571428572,2664.3038311660225,40704.2,8449.550563032299,0.2084396077764552,0.012387350946884241,1.0,6.123233995736766e-17
2025-03-06,17248,72508,39685,29977,29977,0,35286.0,136107,72901,28480,3,6,3,1,35912.666666666664,587.8854763744706,38134.0,2111.729464997186,40007.833333333336,9118.78497684976,-0.01983333333333337,-0.02735651328696152,1.0,6.123233995736766e-17
2025-03-04,18495,72508,39693,27781,27781,0,36000.0,111633,74108,34928,3,4,1,1,37350.666666666664,1961.0459794028718,39236.0,2374.2518821734516,39906.066666666666,9190.055671038097,-0.01239986831998241,-0.024523179953628182,1.0,6.123233995736766e-17
2025-03-03,17973,71000,40563,26980,26980,0,36452.0,132026,76000,35605,3,3,0,1,38550.666666666664,1817.4986474086515,40236.0,2255.306039839759,39848.933333333334,9220.454098823095,-0.07949494949494951,-0.04336299976008414,1.0,6.123233995736766e-17
2025-03-01,17644,66000,39932,27277,27277,0,39600.0,153704,73647,37903,3,1,5,1,39733.333333333336,230.94010767379558,42207.142857142855,3857.506596606399,39776.73333333333,9256.38107184035,0.0,-0.032006578403662785,1.0,6.123233995736766e-17
2025-02-28,17520,68225,43350,26578,22358,0,39600.0,119148,75292,38883,2,28,4,4,39866.666666666664,230.9401076738208,43728.57142857143,4672.067453036109,39775.7,9256.403212054658,-0.010000000000000009,-0.03177022496699838,0.8660254037844386,0.5000000000000001
2025-02-27,17143,70789,34295,25870,18774,0,40000.0,111217,77056,34936,2,27,3,4,41000.0,1732.0508075686355,45238.142857142855,4820.544659012002,39774.666666666664,9256.425232882935,0.0,-0.030341653538426945,0.8660254037844386,0.5000000000000001
2025-02-26,16559,76619,37180,25451,17403,0,40000.0,131600,76242,32188,2,26,2,4,42000.0,1732.0508075686607,46690.57142857143,4500.269542192618,39496.9,9373.715431441951,-0.06976744186046513,-0.041445615299618224,0.8660254037844386,0.5000000000000001
2025-02-25,16624,79333,36412,24288,19055,0,43000.0,118333,72045,31919,2,25,1,4,45416.666666666664,4185.789451624733,48747.0,4213.208199619303,39578.46666666667,9388.878372045048,0.0,-0.03147883789098035,0.8660254037844386,0.5000000000000001
2025-02-24,16410,78527,38915,24544,18694,0,43000.0,132757,68500,31485,2,24,0,4,47833.333333333336,4185.789451624759,50374.857142857145,3804.1469227055504,39551.2,9379.782489206527,-0.14427860696517414,-0.00832700201082299,0.8660254037844386,0.5000000000000001
