Date,avg temp,max temp,min temp,rainFall,price
2025-01-20,1.9,8.4,-2.8,0,4781
2025-01-17,0,6.6,-5,0,4808
2025-01-16,-0.5,4.4,-5.6,0,5007
2025-01-15,-1.6,1.8,-4.7,0,4901
2025-01-14,3.3,8.8,-1.7,0.3,4916
2025-01-13,-0.5,5.2,-6.3,0.1,4928
2025-01-10,-7.1,-1.1,-13.2,0,4928
2025-01-09,-7.5,-3.3,-11.3,0.5,4809
2025-01-08,-1.4,3.2,-5.3,1,5367
2025-01-07,-1.4,2.3,-4.9,0.7,5318
2025-01-06,1.6,5.9,-1.9,1.5,5211
2025-01-03,-0.4,3.9,-4.5,0,5027
2025-01-02,1.1,8,-4,0,5078
2024-12-31,2.3,6.7,-2.8,0,4894
2024-12-30,4.8,10,-0.6,0,4696
2024-12-27,-0.7,3.1,-4.2,0.4,4899
2024-12-26,2.4,6.5,-2,0.1,4816
2024-12-24,0.4,6.3,-4.3,0,4650
2024-12-23,-0.2,6.8,-6.4,0,4639
2024-12-20,0.8,5.9,-3.9,0.2,4592
2024-12-19,-1.5,5.7,-7,0,4488
2024-12-18,-1.4,2.8,-5.1,0.1,4491
2024-12-17,1.4,6.5,-2.7,0,4459
2024-12-16,1.9,6.7,-2.9,0.2,4413
2024-12-13,1.4,6.3,-1.7,0.3,4322
2024-12-12,1.6,7.3,-3.2,0,4236
2024-12-11,2.8,9.1,-1,0.5,4177
2024-12-10,2.6,8.6,-2.2,0,4195
2024-12-09,1.3,7.4,-4.4,0,4224
2024-12-05,4.8,9,0.1,0.5,4054
2024-12-04,3.1,8.3,-1.4,0,3396
2024-12-03,3.5,8.2,-0.3,0,3421
2024-12-02,8.6,15.9,2.9,0.1,3478
2024-11-29,2.9,6.1,-0.6,1.5,3243
2024-11-28,3.6,7.1,0.5,3.3,3165
2024-11-27,2.7,5.6,0.7,5.7,3096
2024-11-26,8.3,12.8,4.5,21.1,3047
2024-11-25,9.4,15.8,2,0.9,3060
2024-11-22,7.3,12.6,2.3,0,3031
2024-11-21,9,14.7,3.7,0,2990
2024-11-20,7.1,12.8,1.8,0.1,3074
2024-11-19,5.4,12.1,-1.2,0,3137
2024-11-18,3.8,9,-0.5,0,3198
2024-11-15,14.8,19.6,11.8,1.5,3257
2024-11-14,13.5,18.7,8.8,0.1,3309
2024-11-13,12.5,20.1,6.3,0,3693
2024-11-12,13.2,20.1,8.3,0,3778
2024-11-11,12.8,20.6,7.3,0,3877
2024-11-08,10.5,18.1,4.1,0,3919
2024-11-07,8,16.7,1,0,4310
2024-11-06,7.7,14.1,2.6,0,4549
2024-11-05,10.8,16.2,6.7,0.6,4741
2024-11-04,14.5,20.7,9.3,0.3,4810
2024-11-01,13.6,16,11.2,16.3,4875
2024-10-31,14.4,21.8,9,0,5294
2024-10-30,14.3,21.6,9.4,0,6502
2024-10-29,14.7,19.9,10.8,0,6627
2024-10-28,14.8,18.4,11.4,1.3,6847
2024-10-25,14.1,21.1,7.5,0,7087
2024-10-24,12.1,19.6,6.7,0,7657
2024-10-23,14.4,18.3,9.6,0.8,8760
2024-10-22,17,18.9,15.1,38.3,8864
2024-10-21,14.9,19.4,10,3.5,9162
2024-10-18,19.3,22.2,15.8,30.2,9123
2024-10-17,18.1,23.9,14.2,0,9363
2024-10-16,18.5,24.1,14.9,0.1,8666
2024-10-15,19,21.9,16.7,6.3,8635
2024-10-14,18.1,21.1,15.8,11.9,8680
2024-10-11,16.8,23.9,12,0,8796
2024-10-10,16.8,23.2,12.4,0.9,9132
2024-10-08,16.8,22.6,12.7,2,8758
2024-10-07,16.4,19.9,13.8,2.1,8794
2024-10-04,15.8,23,10.6,0,8848
2024-10-02,15.1,20.5,10.9,0,9202
2024-09-30,20.4,27.4,14.8,0,9662
2024-09-27,22.4,27.9,18.8,1.2,9963
2024-09-26,22.8,28.3,18.8,0.6,9680
2024-09-25,21.8,27.7,16.8,0,9383
2024-09-24,19.7,26.1,14.2,0,9474
2024-09-23,19.8,24.7,15.6,0.1,9321
2024-09-20,25.3,28,22,53,8989
2024-09-19,27.6,32.8,23.8,1.3,9337
2024-09-13,27,31.7,23.8,2.9,8002
2024-09-12,26,29.4,24.1,15.9,7816
2024-09-11,26.9,32.2,23.8,15.1,7376
2024-09-10,27.8,33.9,22.8,0.2,7096
2024-09-09,27.1,32.4,23,0,7096
2024-09-06,24.8,28,22.8,6,7077
2024-09-05,26.1,31.7,20.5,0.9,6971
2024-09-04,24.9,31.2,19.5,0,6704
2024-09-03,25.1,29.7,21.2,0.3,6604
2024-09-02,24.8,29,21,1.6,6545
2024-08-30,27.2,32.8,22.6,0.3,6455
2024-08-29,27,31.8,22.9,3.5,6572
2024-08-28,26.3,31,21.9,0.3,7527
2024-08-27,25.8,29.6,23.1,4.6,7561
2024-08-26,27.2,31.8,24,3.9,7419
2024-08-23,27.8,32.5,24.1,0.5,7306
2024-08-22,28.1,32,25.3,4.6,7293
2024-08-21,27.9,30.9,25.8,21.5,6926
2024-08-20,28.6,33.2,25.3,11.5,6937
2024-08-19,28.6,33.8,24,0.1,6888
2024-08-16,27.7,33.1,23.6,2.7,6806
2024-08-14,28.3,33.8,23.6,0.7,6159
2024-08-13,28.3,33.9,24.1,1.1,6000
2024-08-12,28.4,34,24.1,0.4,5990
